"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press"
"vsl-grid-scene-snap","65","373009","0.0-5.0-2.0-7.0","","","[[0,0,""img/obj9.png""],[0,""img/obj12.png"",""img/obj5.png""],[""img/obj11.png"",""img/obj6.png"",""img/obj2.png""]]","","","3,2,2,1,3,4,3,1,5","143",""
"vsl-grid-scene-snap","66","376043","0.0-5.0-2.0-8.0","","","[[0,""img/obj8.png"",""img/obj1.png""],[""img/obj5.png"",""img/obj4.png"",0],[""img/obj2.png"",0,""img/obj3.png""]]","","","1,2,2,2,1,3,2,2,6","45",""
"vsl-grid-scene-snap","67","379073","0.0-5.0-2.0-9.0","","","[[""img/obj7.png"",0,0],[""img/obj10.png"",""img/obj9.png"",0],[""img/obj12.png"",""img/obj8.png"",""img/obj1.png""]]","","","1,1,1,2,3,3,2,2,5","16",""
"vsl-grid-scene-snap","68","382104","0.0-5.0-2.0-10.0","","","[[0,0,""img/obj7.png""],[0,""img/obj9.png"",""img/obj10.png""],[""img/obj12.png"",""img/obj11.png"",""img/obj6.png""]]","","","3,1,1,2,3,4,2,2,5","86",""
"vsl-grid-scene-snap","69","385337","0.0-5.0-2.0-11.0","","","[[""img/obj8.png"",""img/obj1.png"",""img/obj7.png""],[""img/obj4.png"",0,""img/obj10.png""],[0,""img/obj3.png"",0]]","","","3,1,1,1,1,3,1,2,6","76",""
"vsl-grid-scene-snap","70","389338","0.0-5.0-2.0-12.0","","","[[""img/obj4.png"",0,0],[0,""img/obj3.png"",""img/obj5.png""],[""img/obj8.png"",""img/obj1.png"",""img/obj2.png""]]","","","3,2,2,1,3,3,1,1,6","137",""
"vsl-grid-scene-snap","71","394334","0.0-5.0-2.0-13.0","","","[[0,0,""img/obj7.png""],[0,""img/obj4.png"",""img/obj10.png""],[""img/obj8.png"",""img/obj1.png"",""img/obj3.png""]]","","","3,1,1,1,3,3,2,2,6","104",""
"vsl-grid-scene-snap","72","399333","0.0-5.0-2.0-14.0","","","[[""img/obj11.png"",""img/obj6.png"",0],[""img/obj4.png"",0,""img/obj7.png""],[0,""img/obj3.png"",""img/obj10.png""]]","","","3,2,1,1,1,4,1,2,6","114",""
"vsl-grid-scene-snap","73","404330","0.0-5.0-2.0-15.0","","","[[0,0,""img/obj5.png""],[0,""img/obj9.png"",""img/obj2.png""],[""img/obj12.png"",""img/obj8.png"",""img/obj1.png""]]","","","3,1,2,2,3,3,2,2,5","85",""
"vsl-grid-scene-snap","74","409329","0.0-5.0-2.0-16.0","","","[[""img/obj4.png"",0,""img/obj7.png""],[0,""img/obj3.png"",""img/obj10.png""],[""img/obj8.png"",""img/obj1.png"",0]]","","","3,1,1,1,3,3,1,1,6","100",""
